Id;Location;Address;CreationDate;ReleaseVersion;InstallerId;Status;LastMaintenance;TerminalType;SoftwareVersion;IpAddress;OperatingSystem;SimCard
5398;Kaba;Jókai utca 52;2021. 03. 08. 0:00:00;v6.1;16;aktív;2022. 12. 08. 0:00:00;ATM;Soft 3.5;192.168.143.100;Windows;378222197
5399;Kaposvár;Dózsa György utca 58;2023. 01. 14. 0:00:00;v6.3;18;-;2024. 12. 14. 0:00:00;ATM;Soft 3.8;192.168.109.214;Windows;369843927
5400;Csongrád;Táncsics Mihály utca 26;2020. 01. 18. 0:00:00;v3.7;12;raktárban;2020. 05. 18. 0:00:00;ATM;Soft 1.9;192.168.111.79;Windows;705830056
5401;Sárbogárd;Rózsa utca 9;2020. 09. 30. 0:00:00;v3.1;16;-;2021. 01. 30. 0:00:00;ATM;Soft 4.0;192.168.140.215;Windows;931568844
5402;Szolnok;Akácfa utca 39;2017. 07. 30. 0:00:00;v3.0;19;-;2018. 02. 28. 0:00:00;ATM;Soft 3.0;192.168.159.18;Windows;393109801
5403;Füzesabony;Vörösmarty utca 17;2015. 07. 24. 0:00:00;v2.1;16;-;2017. 06. 24. 0:00:00;ATM;Soft 4.2;192.168.234.1;Windows;591548238
5404;Komárom;Árpád utca 14;2021. 10. 27. 0:00:00;v4.7;18;-;2022. 06. 27. 0:00:00;ATM;Soft 3.4;192.168.191.205;Windows;632215841
5405;Pápa;Hársfa utca 38;2024. 07. 22. 0:00:00;v4.4;16;aktív;2026. 06. 22. 0:00:00;ATM;Soft 2.2;192.168.255.216;Windows;855557479
5406;Ózd;Vörösmarty utca 96;2018. 05. 01. 0:00:00;v4.4;14;-;2019. 12. 01. 0:00:00;ATM;Soft 4.4;192.168.40.231;Windows;716449920
5407;Pilisszentiván;Táncsics Mihály utca 97;2016. 10. 06. 0:00:00;v8.4;14;raktárban;2017. 12. 06. 0:00:00;ATM;Soft 4.9;192.168.149.202;Windows;901773342
5408;Dunakeszi;Iskola utca 58;2023. 12. 25. 0:00:00;v1.1;19;-;2025. 01. 25. 0:00:00;ATM;Soft 2.3;192.168.98.76;Windows;182349020
5409;Gyöngyös;Jázmin utca 80;2019. 12. 28. 0:00:00;v1.2;12;-;2021. 04. 28. 0:00:00;ATM;Soft 3.1;192.168.252.42;Windows;407388752
5410;Kalocsa;Mátyás király utca 26;2020. 11. 11. 0:00:00;v4.3;16;-;2021. 10. 11. 0:00:00;ATM;Soft 1.7;192.168.52.234;Windows;449890353
5411;Debrecen;Széchenyi utca 15;2020. 11. 14. 0:00:00;v1.5;19;raktárban;2022. 05. 14. 0:00:00;ATM;Soft 1.7;192.168.199.75;Windows;954722061
5412;Balassagyarmat;Zrínyi utca 21;2023. 12. 09. 0:00:00;v4.5;18;-;2025. 06. 09. 0:00:00;ATM;Soft 3.2;192.168.72.182;Windows;993495361
5413;Budapest;Honvéd utca 62;2017. 07. 10. 0:00:00;v8.6;17;-;2018. 10. 10. 0:00:00;ATM;Soft 1.0;192.168.137.243;Windows;151893865
5414;Makó;Szent István utca 56;2019. 04. 25. 0:00:00;v8.4;14;aktív;2020. 02. 25. 0:00:00;ATM;Soft 1.8;192.168.67.27;Windows;451192149
5415;Püspökladány;Jókai utca 63;2019. 07. 02. 0:00:00;v8.8;19;aktív;2019. 09. 02. 0:00:00;ATM;Soft 3.1;192.168.39.226;Windows;936632519
5416;Sopron;Zrínyi utca 30;2016. 08. 09. 0:00:00;v7.6;20;aktív;2017. 04. 09. 0:00:00;ATM;Soft 1.4;192.168.48.30;Windows;442658720
5417;Körmend;Tavasz utca 59;2024. 09. 25. 0:00:00;v9.3;13;aktív;2025. 06. 25. 0:00:00;ATM;Soft 4.4;192.168.3.190;Windows;302310946
5418;Bonyhád;Rákóczi utca 99;2022. 11. 22. 0:00:00;v2.4;16;-;2024. 09. 22. 0:00:00;ATM;Soft 2.5;192.168.24.217;Windows;213847918
5419;Csongrád;Bartók Béla utca 8;2019. 01. 18. 0:00:00;v7.4;15;-;2019. 11. 18. 0:00:00;ATM;Soft 1.4;192.168.120.152;Windows;292036482
5420;Tata;Csokonai utca 54;2016. 10. 27. 0:00:00;v3.2;15;-;2017. 10. 27. 0:00:00;ATM;Soft 4.8;192.168.83.101;Windows;380230353
5421;Szentgotthárd;Orgona utca 43;2019. 12. 22. 0:00:00;v8.4;13;-;2021. 07. 22. 0:00:00;ATM;Soft 4.0;192.168.81.147;Windows;747051140
5422;Karcag;Tavasz utca 81;2020. 12. 18. 0:00:00;v6.5;13;-;2022. 10. 18. 0:00:00;ATM;Soft 3.8;192.168.105.29;Windows;384812791
5423;Körmend;Rózsa utca 65;2020. 10. 29. 0:00:00;v3.7;12;aktív;2021. 08. 29. 0:00:00;ATM;Soft 3.7;192.168.251.141;Windows;691254449
5424;Nagykáta;Kert utca 42;2015. 04. 12. 0:00:00;v7.2;17;-;2016. 05. 12. 0:00:00;ATM;Soft 3.0;192.168.170.100;Windows;370936620
5425;Körmend;Hunyadi utca 37;2016. 09. 04. 0:00:00;v7.0;15;-;2017. 09. 04. 0:00:00;ATM;Soft 3.7;192.168.37.44;Windows;780278000
5426;Sárbogárd;Orgona utca 33;2023. 11. 27. 0:00:00;v6.8;12;aktív;2025. 09. 27. 0:00:00;ATM;Soft 3.7;192.168.132.149;Windows;183947919
5427;Érd;Fő utca 75;2015. 11. 09. 0:00:00;v4.9;13;aktív;2017. 09. 09. 0:00:00;ATM;Soft 4.8;192.168.5.125;Windows;126804012
5428;Lőrinci;Jókai utca 16;2017. 09. 22. 0:00:00;v7.2;19;aktív;2019. 08. 22. 0:00:00;ATM;Soft 3.0;192.168.60.207;Windows;448909711
5429;Gyömrő;Vörösmarty utca 37;2017. 06. 23. 0:00:00;v4.8;17;-;2018. 09. 23. 0:00:00;ATM;Soft 4.8;192.168.190.154;Windows;370596952
5430;Zalaegerszeg;Sport utca 80;2021. 02. 25. 0:00:00;v7.3;15;-;2022. 04. 25. 0:00:00;ATM;Soft 4.8;192.168.199.70;Windows;110007724
5431;Baja;Csokonai utca 13;2020. 03. 31. 0:00:00;v5.5;14;-;2020. 04. 30. 0:00:00;ATM;Soft 1.8;192.168.149.176;Windows;456544512
5432;Zalaegerszeg;Rákóczi tér 38;2016. 04. 12. 0:00:00;v3.4;18;aktív;2017. 03. 12. 0:00:00;ATM;Soft 1.8;192.168.42.6;Windows;385581705
5433;Ráckeve;Táncsics Mihály utca 78;2024. 06. 11. 0:00:00;v5.5;20;-;2025. 04. 11. 0:00:00;ATM;Soft 3.8;192.168.135.75;Windows;485831241
5434;Szigetszentmiklós;Vörösmarty utca 28;2015. 02. 08. 0:00:00;v1.2;20;-;2015. 10. 08. 0:00:00;ATM;Soft 1.5;192.168.56.189;Windows;656992785
5435;Balassagyarmat;Nyár utca 57;2016. 04. 02. 0:00:00;v8.9;16;aktív;2016. 08. 02. 0:00:00;ATM;Soft 3.8;192.168.60.48;Windows;475422965
5436;Jászapáti;Zrínyi utca 97;2020. 06. 12. 0:00:00;v1.8;19;-;2022. 02. 12. 0:00:00;ATM;Soft 1.3;192.168.42.26;Windows;799817940
5437;Kunszentmiklós;Dózsa György utca 98;2022. 10. 11. 0:00:00;v8.5;14;aktív;2024. 06. 11. 0:00:00;ATM;Soft 1.3;192.168.218.123;Windows;113771102
5438;Sárbogárd;Hegyalja utca 29;2021. 04. 05. 0:00:00;v5.0;19;-;2022. 08. 05. 0:00:00;ATM;Soft 1.2;192.168.92.149;Windows;521604772
5439;Kiskunfélegyháza;Rákóczi tér 77;2016. 09. 20. 0:00:00;v3.4;12;raktárban;2016. 11. 20. 0:00:00;ATM;Soft 1.4;192.168.40.203;Windows;998323092
5440;Bonyhád;Sport utca 59;2022. 08. 20. 0:00:00;v4.1;12;-;2022. 09. 20. 0:00:00;ATM;Soft 2.0;192.168.142.140;Windows;902451060
5441;Kaposvár;Szent István utca 9;2022. 01. 28. 0:00:00;v8.6;13;-;2022. 11. 28. 0:00:00;ATM;Soft 1.3;192.168.13.11;Windows;207102970
5442;Kiskunhalas;Új utca 95;2020. 06. 29. 0:00:00;v4.1;19;-;2021. 05. 29. 0:00:00;ATM;Soft 2.8;192.168.25.113;Windows;900739617
5443;Baja;Fő utca 44;2015. 12. 07. 0:00:00;v8.2;17;aktív;2016. 09. 07. 0:00:00;ATM;Soft 2.7;192.168.250.74;Windows;599617561
5444;Dabas;Mátyás király utca 58;2019. 08. 27. 0:00:00;v6.5;18;raktárban;2020. 01. 27. 0:00:00;ATM;Soft 3.6;192.168.20.183;Windows;710673973
5445;Szentendre;Zrínyi utca 44;2022. 05. 29. 0:00:00;v4.9;14;aktív;2024. 04. 29. 0:00:00;ATM;Soft 2.6;192.168.249.25;Windows;510697102
5446;Gyömrő;Rózsa utca 75;2016. 08. 27. 0:00:00;v7.9;14;-;2018. 03. 27. 0:00:00;ATM;Soft 3.2;192.168.222.229;Windows;287928320
5447;Karcag;Zrínyi utca 67;2020. 08. 02. 0:00:00;v9.3;15;-;2021. 01. 02. 0:00:00;ATM;Soft 4.9;192.168.237.134;Windows;386047762
5448;Jászapáti;Petőfi utca 58;2016. 07. 03. 0:00:00;v8.6;15;-;2016. 12. 03. 0:00:00;ATM;Soft 3.3;192.168.118.128;Windows;902481872
5449;Szolnok;Kert utca 86;2023. 03. 07. 0:00:00;v5.5;19;aktív;2023. 08. 07. 0:00:00;ATM;Soft 2.5;192.168.77.207;Windows;816313777
5450;Püspökladány;Csokonai utca 28;2015. 06. 24. 0:00:00;v5.8;17;raktárban;2016. 04. 24. 0:00:00;ATM;Soft 4.2;192.168.59.112;Windows;432032304
5451;Esztergom;Hársfa utca 2;2023. 06. 24. 0:00:00;v4.2;12;-;2023. 07. 24. 0:00:00;ATM;Soft 1.9;192.168.80.244;Windows;519831757
5452;Kazincbarcika;Közép utca 11;2020. 07. 31. 0:00:00;v5.2;15;raktárban;2020. 10. 31. 0:00:00;ATM;Soft 4.6;192.168.234.166;Windows;825774925
5453;Marcali;Tavaszmező utca 49;2016. 04. 07. 0:00:00;v2.6;15;-;2016. 06. 07. 0:00:00;ATM;Soft 2.3;192.168.50.143;Windows;246915016
5454;Szombathely;Honvéd utca 78;2018. 08. 06. 0:00:00;v8.9;12;-;2018. 09. 06. 0:00:00;ATM;Soft 2.9;192.168.76.105;Windows;822337084
5455;Sümeg;Arany János utca 28;2017. 07. 30. 0:00:00;v8.0;13;-;2018. 09. 30. 0:00:00;ATM;Soft 3.2;192.168.132.30;Windows;760251529
5456;Celldömölk;Orgona utca 39;2015. 05. 31. 0:00:00;v3.9;12;-;2015. 12. 31. 0:00:00;ATM;Soft 1.5;192.168.78.160;Windows;872686954
5457;Sümeg;Jázmin utca 77;2016. 09. 08. 0:00:00;v8.1;18;raktárban;2017. 07. 08. 0:00:00;ATM;Soft 3.2;192.168.206.13;Windows;518859387
5458;Szombathely;Béke utca 57;2020. 02. 05. 0:00:00;v5.2;14;-;2020. 04. 05. 0:00:00;ATM;Soft 2.5;192.168.167.108;Windows;682966332
5459;Makó;Tavasz utca 52;2022. 07. 05. 0:00:00;v5.9;17;raktárban;2022. 08. 05. 0:00:00;ATM;Soft 1.6;192.168.211.102;Windows;394012177
5460;Salgótarján;Tavasz utca 34;2015. 01. 06. 0:00:00;v3.5;20;-;2016. 09. 06. 0:00:00;ATM;Soft 4.6;192.168.184.171;Windows;151382899
5461;Miskolc;Táncsics Mihály utca 80;2021. 09. 07. 0:00:00;v1.1;18;-;2022. 03. 07. 0:00:00;ATM;Soft 4.3;192.168.224.234;Windows;808969994
5462;Gyömrő;Tavasz utca 45;2024. 06. 01. 0:00:00;v7.7;13;aktív;2024. 11. 01. 0:00:00;ATM;Soft 4.8;192.168.184.70;Windows;336237419
5463;Kecskemét;Rózsa utca 78;2020. 10. 17. 0:00:00;v7.7;12;-;2021. 09. 17. 0:00:00;ATM;Soft 4.2;192.168.54.117;Windows;667384095
5464;Szekszárd;Vasút utca 10;2020. 03. 11. 0:00:00;v1.4;12;raktárban;2021. 03. 11. 0:00:00;ATM;Soft 3.5;192.168.105.216;Windows;976007582
5465;Nagykáta;Jázmin utca 84;2015. 12. 23. 0:00:00;v5.0;15;raktárban;2017. 06. 23. 0:00:00;ATM;Soft 1.3;192.168.115.53;Windows;621441575
5466;Székesfehérvár;Alkotmány utca 34;2023. 11. 15. 0:00:00;v2.2;16;aktív;2024. 01. 15. 0:00:00;ATM;Soft 1.4;192.168.30.105;Windows;781922823
5467;Esztergom;Hunyadi utca 78;2018. 03. 22. 0:00:00;v8.3;18;-;2019. 09. 22. 0:00:00;ATM;Soft 4.5;192.168.154.212;Windows;742091172
5468;Eger;Széchenyi utca 86;2021. 07. 22. 0:00:00;v4.6;14;aktív;2022. 07. 22. 0:00:00;ATM;Soft 2.2;192.168.36.215;Windows;466610439
5469;Sopron;Béke utca 91;2024. 04. 14. 0:00:00;v1.7;18;-;2025. 10. 14. 0:00:00;ATM;Soft 4.2;192.168.251.182;Windows;502481492
5470;Kecskemét;Új utca 81;2017. 07. 26. 0:00:00;v3.7;12;-;2018. 06. 26. 0:00:00;ATM;Soft 1.4;192.168.49.92;Windows;212998877
5471;Törökszentmiklós;Dózsa György utca 25;2023. 08. 01. 0:00:00;v9.6;16;-;2024. 07. 01. 0:00:00;ATM;Soft 1.4;192.168.217.223;Windows;519584725
5472;Pilisvörösvár;Bartók Béla utca 93;2018. 01. 10. 0:00:00;v8.8;20;raktárban;2019. 10. 10. 0:00:00;ATM;Soft 3.8;192.168.176.30;Windows;996553253
5473;Ózd;Madách utca 95;2015. 08. 19. 0:00:00;v9.7;17;raktárban;2017. 06. 19. 0:00:00;ATM;Soft 2.6;192.168.135.243;Windows;365797197
5474;Pápa;Szabadság utca 99;2023. 08. 14. 0:00:00;v1.9;15;aktív;2025. 03. 14. 0:00:00;ATM;Soft 4.9;192.168.132.204;Windows;649664075
5475;Orosháza;Tavasz utca 23;2023. 12. 07. 0:00:00;v3.5;18;raktárban;2025. 10. 07. 0:00:00;ATM;Soft 1.7;192.168.128.34;Windows;556259988
5476;Kaposvár;Szent István utca 51;2021. 02. 05. 0:00:00;v5.4;15;-;2022. 03. 05. 0:00:00;ATM;Soft 3.7;192.168.231.175;Windows;823161661
5477;Kőszeg;Csokonai utca 19;2020. 04. 20. 0:00:00;v8.4;14;aktív;2020. 11. 20. 0:00:00;ATM;Soft 2.1;192.168.185.87;Windows;435681375
5478;Lőrinci;Hunyadi utca 37;2016. 01. 21. 0:00:00;v5.4;18;-;2017. 02. 21. 0:00:00;ATM;Soft 4.0;192.168.75.61;Windows;450051509
5479;Tatabánya;Rózsa utca 7;2022. 06. 30. 0:00:00;v7.3;14;aktív;2023. 04. 30. 0:00:00;ATM;Soft 4.0;192.168.187.177;Windows;895034208
5480;Nyíregyháza;Szőlő utca 22;2022. 01. 07. 0:00:00;v2.7;14;aktív;2022. 05. 07. 0:00:00;ATM;Soft 2.1;192.168.43.111;Windows;297814014
5481;Budaörs;Templom utca 26;2023. 10. 02. 0:00:00;v6.8;14;-;2024. 09. 02. 0:00:00;ATM;Soft 2.8;192.168.55.166;Windows;543407152
5482;Makó;Arany János utca 94;2016. 04. 30. 0:00:00;v2.6;15;aktív;2017. 07. 30. 0:00:00;ATM;Soft 2.8;192.168.84.30;Windows;985703718
5483;Fót;Sport utca 22;2021. 09. 16. 0:00:00;v3.8;14;aktív;2022. 08. 16. 0:00:00;ATM;Soft 4.2;192.168.43.241;Windows;451745511
5484;Gyömrő;Táncsics Mihály utca 44;2022. 04. 23. 0:00:00;v1.0;12;aktív;2023. 07. 23. 0:00:00;ATM;Soft 2.1;192.168.56.76;Windows;993469832
5485;Dabas;Kossuth utca 60;2024. 09. 04. 0:00:00;v1.9;18;aktív;2025. 12. 04. 0:00:00;ATM;Soft 2.3;192.168.58.162;Windows;595577075
5486;Mosonmagyaróvár;Vörösmarty utca 4;2019. 10. 01. 0:00:00;v8.7;13;aktív;2021. 04. 01. 0:00:00;ATM;Soft 4.0;192.168.48.174;Windows;845932520
5487;Salgótarján;Széchenyi utca 36;2016. 03. 10. 0:00:00;v8.0;15;aktív;2016. 10. 10. 0:00:00;ATM;Soft 2.3;192.168.221.237;Windows;288266685
5488;Baja;Jókai utca 74;2019. 06. 05. 0:00:00;v1.2;12;aktív;2020. 06. 05. 0:00:00;ATM;Soft 3.7;192.168.151.231;Windows;390548991
5489;Kiskunhalas;Arany János utca 21;2022. 03. 28. 0:00:00;v1.4;14;aktív;2022. 09. 28. 0:00:00;ATM;Soft 3.7;192.168.73.68;Windows;580532380
5490;Szigetszentmiklós;Temető utca 27;2024. 05. 14. 0:00:00;v1.1;17;aktív;2025. 08. 14. 0:00:00;ATM;Soft 3.0;192.168.9.88;Windows;959808738
5491;Nagykáta;Orgona utca 34;2021. 03. 26. 0:00:00;v3.7;13;-;2022. 03. 26. 0:00:00;ATM;Soft 3.2;192.168.18.160;Windows;369734718
5492;Dunakeszi;Akácfa utca 96;2021. 05. 09. 0:00:00;v5.4;13;aktív;2022. 06. 09. 0:00:00;ATM;Soft 4.8;192.168.57.187;Windows;754177058
5493;Szentendre;Béke utca 69;2023. 12. 10. 0:00:00;v1.1;15;aktív;2024. 02. 10. 0:00:00;ATM;Soft 2.7;192.168.232.247;Windows;464191757
5494;Gyál;Széchenyi utca 6;2021. 07. 25. 0:00:00;v9.1;14;-;2022. 12. 25. 0:00:00;ATM;Soft 3.9;192.168.169.226;Windows;613418759
5495;Kalocsa;Jókai utca 43;2024. 10. 21. 0:00:00;v7.1;20;aktív;2025. 12. 21. 0:00:00;ATM;Soft 2.8;192.168.200.165;Windows;280716321
5496;Budakeszi;Szabadság utca 25;2015. 04. 16. 0:00:00;v9.0;18;raktárban;2015. 06. 16. 0:00:00;ATM;Soft 4.1;192.168.120.79;Windows;903307064
5497;Szeged;Tavasz utca 2;2022. 01. 28. 0:00:00;v4.0;12;-;2023. 01. 28. 0:00:00;ATM;Soft 3.2;192.168.159.109;Windows;117190986
5498;Tata;Rákóczi utca 82;2016. 09. 13. 0:00:00;v2.2;12;aktív;2018. 03. 13. 0:00:00;ATM;Soft 2.0;192.168.119.173;Windows;135761568
5499;Mezőkövesd;Kossuth tér 52;2021. 04. 20. 0:00:00;v1.9;18;-;2022. 11. 20. 0:00:00;ATM;Soft 1.4;192.168.147.159;Windows;507949735
5500;Mohács;Nyár utca 69;2017. 12. 28. 0:00:00;v1.6;17;aktív;2019. 09. 28. 0:00:00;ATM;Soft 2.6;192.168.58.196;Windows;961599351
5501;Dunaújváros;Szent István utca 13;2022. 02. 19. 0:00:00;v3.5;12;-;2022. 11. 19. 0:00:00;ATM;Soft 2.8;192.168.253.243;Windows;284649481
5502;Bonyhád;Honvéd utca 20;2022. 01. 02. 0:00:00;v6.2;16;aktív;2023. 06. 02. 0:00:00;ATM;Soft 3.4;192.168.19.254;Windows;181163135
5503;Nyírbátor;Rákóczi utca 17;2018. 04. 25. 0:00:00;v6.2;19;-;2018. 06. 25. 0:00:00;ATM;Soft 4.3;192.168.177.90;Windows;269799190
5504;Miskolc;Orgona utca 8;2018. 03. 02. 0:00:00;v8.7;15;-;2019. 10. 02. 0:00:00;ATM;Soft 4.8;192.168.172.140;Windows;148766611
5505;Tolna;Kossuth tér 23;2021. 09. 21. 0:00:00;v8.0;18;raktárban;2022. 03. 21. 0:00:00;ATM;Soft 3.9;192.168.53.23;Windows;321954457
5506;Lenti;Rákóczi utca 14;2023. 12. 11. 0:00:00;v4.5;15;-;2024. 09. 11. 0:00:00;ATM;Soft 1.9;192.168.166.49;Windows;650094386
5507;Kiskunfélegyháza;Vasút utca 29;2023. 08. 25. 0:00:00;v2.4;19;-;2024. 09. 25. 0:00:00;ATM;Soft 2.6;192.168.214.17;Windows;560083604
5508;Berettyóújfalu;Akácfa utca 96;2018. 03. 27. 0:00:00;v6.8;14;-;2019. 04. 27. 0:00:00;ATM;Soft 1.2;192.168.169.12;Windows;564998316
5509;Zalaegerszeg;Hunyadi utca 68;2022. 07. 29. 0:00:00;v3.5;16;-;2023. 02. 28. 0:00:00;ATM;Soft 3.0;192.168.237.210;Windows;776056050
5510;Szekszárd;Árpád utca 72;2018. 10. 18. 0:00:00;v4.3;19;raktárban;2020. 06. 18. 0:00:00;ATM;Soft 4.7;192.168.104.226;Windows;428197207
5511;Szentgotthárd;Sport utca 7;2018. 08. 10. 0:00:00;v4.6;19;aktív;2020. 01. 10. 0:00:00;ATM;Soft 2.5;192.168.217.137;Windows;478294026
5512;Esztergom;Orgona utca 24;2024. 07. 07. 0:00:00;v5.0;16;-;2026. 03. 07. 0:00:00;ATM;Soft 1.9;192.168.211.158;Windows;881909879
5513;Kazincbarcika;Kossuth tér 68;2018. 01. 10. 0:00:00;v5.2;19;aktív;2019. 10. 10. 0:00:00;ATM;Soft 4.5;192.168.53.78;Windows;759164666
5514;Vác;Erkel Ferenc utca 6;2018. 11. 11. 0:00:00;v7.8;19;-;2020. 10. 11. 0:00:00;ATM;Soft 1.2;192.168.152.228;Windows;282717115
5515;Balassagyarmat;Deák Ferenc utca 51;2021. 03. 13. 0:00:00;v1.2;18;-;2022. 03. 13. 0:00:00;ATM;Soft 2.6;192.168.3.3;Windows;226720906
5516;Sárbogárd;Vasút utca 54;2019. 06. 13. 0:00:00;v1.0;17;aktív;2021. 01. 13. 0:00:00;ATM;Soft 3.5;192.168.206.193;Windows;295887480
5517;Sümeg;Madách utca 87;2018. 01. 21. 0:00:00;v9.0;15;-;2018. 07. 21. 0:00:00;ATM;Soft 4.5;192.168.94.43;Windows;539984910
5518;Lőrinci;Jázmin utca 24;2015. 04. 18. 0:00:00;v4.0;15;aktív;2016. 06. 18. 0:00:00;ATM;Soft 2.2;192.168.114.152;Windows;290318692
5519;Sárbogárd;Szabadság utca 40;2021. 02. 12. 0:00:00;v8.6;19;-;2022. 09. 12. 0:00:00;ATM;Soft 2.9;192.168.157.245;Windows;714290412
5520;Gárdony;Mátyás király utca 88;2021. 08. 10. 0:00:00;v2.1;14;aktív;2022. 09. 10. 0:00:00;ATM;Soft 1.1;192.168.142.182;Windows;243954343
5521;Zirc;Deák Ferenc utca 65;2021. 07. 03. 0:00:00;v6.4;18;raktárban;2022. 12. 03. 0:00:00;ATM;Soft 3.1;192.168.217.72;Windows;695426948
5522;Kisvárda;Szent István utca 67;2021. 09. 08. 0:00:00;v6.6;12;-;2023. 01. 08. 0:00:00;ATM;Soft 1.7;192.168.173.158;Windows;162318379
5523;Gyöngyös;Árpád utca 65;2020. 01. 11. 0:00:00;v2.8;20;raktárban;2021. 05. 11. 0:00:00;ATM;Soft 4.4;192.168.43.159;Windows;470867219
5524;Érd;Temető utca 95;2019. 01. 01. 0:00:00;v4.0;15;-;2019. 12. 01. 0:00:00;ATM;Soft 3.9;192.168.228.96;Windows;570306841
5525;Gárdony;Vasút utca 48;2021. 06. 29. 0:00:00;v6.9;12;aktív;2022. 06. 29. 0:00:00;ATM;Soft 1.4;192.168.21.1;Windows;158375136
5526;Budapest;Deák Ferenc utca 96;2022. 04. 16. 0:00:00;v8.4;12;raktárban;2022. 08. 16. 0:00:00;ATM;Soft 2.8;192.168.186.179;Windows;435783043
5527;Berettyóújfalu;Szabadság utca 60;2022. 07. 20. 0:00:00;v3.7;13;aktív;2023. 09. 20. 0:00:00;ATM;Soft 4.2;192.168.54.68;Windows;909045563
5528;Nagykanizsa;Orgona utca 91;2015. 04. 21. 0:00:00;v8.8;15;raktárban;2015. 12. 21. 0:00:00;ATM;Soft 1.0;192.168.128.194;Windows;273490017
5529;Makó;Árpád utca 36;2019. 10. 07. 0:00:00;v8.7;20;aktív;2020. 04. 07. 0:00:00;ATM;Soft 2.8;192.168.230.98;Windows;176900715
5530;Salgótarján;Szőlő utca 46;2015. 11. 09. 0:00:00;v1.7;16;raktárban;2017. 08. 09. 0:00:00;ATM;Soft 2.4;192.168.64.105;Windows;995503462
5531;Hajdúszoboszló;Árpád utca 3;2020. 12. 14. 0:00:00;v2.0;12;aktív;2021. 03. 14. 0:00:00;ATM;Soft 2.8;192.168.63.110;Windows;515397878
5532;Dunakeszi;Árpád utca 67;2023. 07. 11. 0:00:00;v7.0;17;-;2025. 01. 11. 0:00:00;ATM;Soft 3.5;192.168.225.242;Windows;929913165
5533;Mór;Szent István utca 30;2015. 12. 13. 0:00:00;v8.1;12;-;2017. 07. 13. 0:00:00;ATM;Soft 4.6;192.168.49.185;Windows;651022413
5534;Körmend;Deák Ferenc utca 95;2024. 07. 12. 0:00:00;v1.2;17;-;2025. 10. 12. 0:00:00;ATM;Soft 2.1;192.168.57.110;Windows;744108023
5535;Cegléd;Madách utca 25;2018. 03. 06. 0:00:00;v7.1;17;-;2018. 10. 06. 0:00:00;ATM;Soft 2.7;192.168.213.66;Windows;978117544
5536;Veszprém;Béke utca 65;2020. 07. 30. 0:00:00;v6.4;13;aktív;2020. 11. 30. 0:00:00;ATM;Soft 1.2;192.168.202.145;Windows;530364740
5537;Bonyhád;Szent István utca 29;2019. 05. 27. 0:00:00;v2.0;17;raktárban;2019. 08. 27. 0:00:00;ATM;Soft 4.3;192.168.145.145;Windows;901382821
5538;Pécs;Rákóczi utca 33;2019. 06. 29. 0:00:00;v6.1;18;-;2019. 08. 29. 0:00:00;ATM;Soft 1.2;192.168.253.186;Windows;571035373
5539;Mór;Szent István utca 57;2015. 04. 18. 0:00:00;v5.4;18;-;2015. 11. 18. 0:00:00;ATM;Soft 2.3;192.168.255.230;Windows;649147019
5540;Balatonalmádi;Mátyás király utca 85;2017. 10. 26. 0:00:00;v1.0;12;-;2019. 04. 26. 0:00:00;ATM;Soft 2.0;192.168.210.192;Windows;653284543
5541;Bonyhád;Tavaszmező utca 40;2020. 11. 20. 0:00:00;v9.2;18;-;2022. 01. 20. 0:00:00;ATM;Soft 2.3;192.168.143.212;Windows;826010352
5542;Tatabánya;Alkotmány utca 60;2020. 07. 01. 0:00:00;v7.3;17;-;2020. 08. 01. 0:00:00;ATM;Soft 2.1;192.168.58.199;Windows;320947485
5543;Csömör;Csokonai utca 76;2018. 01. 09. 0:00:00;v2.7;14;-;2019. 10. 09. 0:00:00;ATM;Soft 4.9;192.168.227.226;Windows;438277355
5544;Balatonfüred;Jókai utca 2;2019. 04. 16. 0:00:00;v2.2;16;aktív;2019. 10. 16. 0:00:00;ATM;Soft 4.1;192.168.40.224;Windows;448027747
5545;Ajka;Hunyadi utca 57;2018. 01. 04. 0:00:00;v7.1;19;-;2019. 07. 04. 0:00:00;ATM;Soft 2.9;192.168.210.4;Windows;258343325
5546;Füzesabony;Jázmin utca 92;2018. 04. 06. 0:00:00;v9.7;18;raktárban;2018. 12. 06. 0:00:00;ATM;Soft 3.3;192.168.5.236;Windows;909318825
5547;Ráckeve;Vörösmarty utca 99;2024. 05. 09. 0:00:00;v5.6;15;raktárban;2025. 12. 09. 0:00:00;ATM;Soft 2.0;192.168.80.122;Windows;242353748
5548;Szekszárd;Rákóczi utca 63;2018. 03. 10. 0:00:00;v2.1;15;-;2018. 04. 10. 0:00:00;ATM;Soft 2.9;192.168.82.160;Windows;353934358
5549;Kiskunhalas;Hunyadi utca 7;2023. 06. 29. 0:00:00;v8.5;15;aktív;2025. 02. 28. 0:00:00;ATM;Soft 1.4;192.168.191.109;Windows;510174516
5550;Hódmezővásárhely;Mátyás király utca 36;2020. 06. 30. 0:00:00;v5.6;19;raktárban;2021. 12. 30. 0:00:00;ATM;Soft 4.6;192.168.176.76;Windows;271323645
5551;Tiszafüred;Fő utca 86;2019. 07. 12. 0:00:00;v4.6;14;aktív;2020. 01. 12. 0:00:00;ATM;Soft 1.2;192.168.191.99;Windows;343473513
